150
90,1237
1023,2
64,624
107,572
781,621
145,1036
1223,434
1221,1054
1078,633
224,48
983,236
773,1472
1448,634
966,205
1190,456
674,811
642,256
1224,985
124,324
198,1222
257,1420
579,1018
1229,1401
1187,382
1500,121
589,764
777,905
614,1373
967,563
924,852
430,855
635,896
23,838
1444,1245
246,275
156,933
546,311
290,157
716,1454
496,591
1390,601
1343,867
77,1008
1076,458
392,865
616,544
797,1098
1370,1086
607,334
1427,799
438,757
1016,703
965,1130
1496,344
1010,1419
964,155
258,1217
185,835
1441,620
247,826
47,1299
808,1293
1269,701
962,928
274,672
530,1277
661,281
1407,136
1491,141
1225,82
923,518
538,574
273,1356
612,975
688,802
172,1333
840,1189
322,1239
547,245
829,177
358,885
413,120
876,667
376,1286
1168,1091
1391,1473
1033,498
486,849
825,936
153,656
1278,1403
1240,189
1152,1460
367,330
836,56
32,948
598,1359
439,555
227,862
251,1383
593,921
132,493
837,853
658,878
972,552
977,25
891,412
1440,528
96,336
445,1272
738,1019
910,533
566,1100
1138,484
996,951
1342,491
736,998
450,932
146,465
844,266
1075,973
584,1167
126,403
1433,824
212,1429
387,1022
605,942
724,1337
628,1459
1201,1209
710,1372
1292,1492
873,717
1310,1259
329,244
1430,495
395,909
916,1002
947,958
93,386
347,647
305,109
907,135
1146,165
468,819
1058,597
915,229
10,596
815,178
523,67
