200
1630,1160
1811,682
254,1460
1825,1955
1263,630
195,1686
556,1572
1090,987
1908,1116
1922,1052
314,372
1931,1950
1903,843
965,412
1590,1508
282,348
837,404
1816,305
1571,406
1901,776
1299,554
71,1643
1680,765
1847,329
1342,1608
1497,1740
1467,779
774,198
1293,458
338,724
1391,1053
63,464
545,1066
91,1257
191,392
1619,208
1365,524
623,563
1865,1959
68,895
860,151
748,462
1499,1409
1557,52
366,1632
958,1282
871,858
1996,1884
1385,416
1473,804
539,1795
1325,957
1277,911
317,405
232,854
970,1089
1866,1991
662,690
1137,1981
435,1721
1458,66
495,1540
981,1588
1355,1383
1725,172
1857,455
1059,582
268,1178
289,237
498,1249
1623,185
491,1131
1570,1977
470,1346
1790,1235
674,1559
379,1536
483,576
1185,1204
910,1852
676,53
1595,1280
1123,1960
1054,825
1758,1553
548,1046
1450,1934
1442,1951
728,1379
1086,1793
145,313
103,411
1013,1515
1486,49
1781,836
248,287
1084,1668
894,1214
23,1890
641,802
309,102
1509,1159
591,73
1003,122
315,885
1141,164
499,1386
1239,1952
1304,1223
1415,1962
852,1115
159,876
433,1779
1724,1095
288,1350
1957,1778
1015,729
1876,1390
148,1855
833,224
201,292
1808,657
9,1396
1455,1348
1534,1700
1629,1814
1889,882
749,698
487,1099
1975,1050
807,488
1703,721
340,26
493,1641
272,279
1998,177
1621,620
1080,330
1024,814
270,564
1587,1580
1157,1527
653,88
954,1692
746,446
141,700
445,1846
229,1936
341,691
1854,1624
772,1989
92,1859
1669,1672
1746,888
907,1150
903,1097
1963,293
1659,211
681,1667
205,281
1436,54
717,920
1851,1445
742,1096
178,312
243,604
1728,753
1753,1604
1917,256
110,1678
430,1051
646,613
1502,311
29,697
79,784
1900,196
1184,1797
1334,368
1181,624
822,946
996,408
540,471
1354,999
344,429
1248,1333
334,1738
669,1179
1135,555
1414,942
147,174
1683,1798
1404,1416
881,1315
788,419
1870,955
553,37
918,683
921,502
1474,259
1432,1705
