100
97,89
132,236
941,302
954,610
573,123
60,646
234,96
351,584
815,441
16,695
43,637
168,804
642,792
723,969
639,620
445,176
539,921
292,658
732,442
186,423
674,797
180,537
361,543
612,754
762,706
80,505
906,160
755,210
474,774
424,25
434,427
297,146
493,850
494,618
790,970
768,408
622,52
365,589
781,37
513,62
337,918
901,84
840,702
527,701
596,619
561,129
199,564
288,443
449,829
220,553
803,681
185,386
215,367
162,700
216,71
412,113
294,147
871,330
406,857
174,676
851,51
920,335
945,882
105,349
242,550
383,525
556,244
245,360
562,13
663,818
207,139
110,900
276,309
296,164
393,405
470,281
975,785
243,758
739,44
27,606
855,221
672,347
952,860
531,771
218,341
420,802
881,246
500,570
476,542
211,438
985,566
568,540
617,144
359,104
333,806
895,138
35,884
800,451
824,708
718,879
