150
1223,564
1358,67
191,1217
1368,1273
947,661
146,1403
417,454
817,1209
1429,496
1439,150
235,1046
1446,522
1425,324
722,541
1190,129
211,177
626,1257
1359,1275
1175,767
1422,80
971,313
53,470
1256,1091
1380,21
1002,58
1118,224
1096,860
578,969
965,857
252,596
1038,723
47,391
407,982
68,1352
143,904
1207,242
1018,485
464,822
1390,1024
51,1410
641,1218
557,1016
1117,637
1159,570
273,584
713,400
648,664
940,666
1030,1065
1474,1035
401,838
985,1443
949,1054
236,692
173,455
721,1348
1386,1134
492,712
844,805
323,758
1082,268
368,389
728,607
1005,297
1280,1086
1377,251
785,291
199,220
214,292
369,559
1203,399
364,1182
1163,550
348,237
1326,1155
499,1250
280,560
358,142
877,329
673,520
500,756
1179,333
830,765
779,902
1299,281
405,149
1071,375
1066,403
538,536
802,1460
107,108
77,331
748,1008
1097,37
1314,1167
183,917
799,613
659,725
17,298
473,575
228,1204
1112,683
436,651
739,289
232,610
840,777
367,845
912,1416
960,457
1041,1227
627,1469
117,1371
318,1131
1267,1449
212,123
1144,1338
746,414
1378,839
109,169
612,888
148,132
1327,804
7,1288
1068,956
1125,1481
1195,1108
1389,1328
549,409
357,854
1407,1315
592,38
1247,908
249,1246
361,585
1433,1101
186,741
1186,750
791,1043
749,977
198,699
1161,222
846,1284
477,1414
697,35
545,591
103,203
325,1419
167,858
1497,602
1354,566
