50
1,446,497
2,479,371
3,273,242
4,69,500
5,75,35
6,128,197
7,416,48
8,126,427
9,401,3
10,120,342
11,456,477
12,172,382
13,96,37
14,123,175
15,300,114
16,230,349
17,171,188
18,402,395
19,283,79
20,265,436
21,441,63
22,137,59
23,362,373
24,360,248
25,182,235
26,270,62
27,36,478
28,26,264
29,251,149
30,367,217
31,439,169
32,61,32
33,267,101
34,220,52
35,6,460
36,157,100
37,76,173
38,368,21
39,144,372
40,244,389
41,77,202
42,277,201
43,121,138
44,299,471
45,315,150
46,341,46
47,205,316
48,38,158
49,104,98
50,412,162
