150
1,1223,564
2,1358,67
3,191,1217
4,1368,1273
5,947,661
6,146,1403
7,417,454
8,817,1209
9,1429,496
10,1439,150
11,235,1046
12,1446,522
13,1425,324
14,722,541
15,1190,129
16,211,177
17,626,1257
18,1359,1275
19,1175,767
20,1422,80
21,971,313
22,53,470
23,1256,1091
24,1380,21
25,1002,58
26,1118,224
27,1096,860
28,578,969
29,965,857
30,252,596
31,1038,723
32,47,391
33,407,982
34,68,1352
35,143,904
36,1207,242
37,1018,485
38,464,822
39,1390,1024
40,51,1410
41,641,1218
42,557,1016
43,1117,637
44,1159,570
45,273,584
46,713,400
47,648,664
48,940,666
49,1030,1065
50,1474,1035
51,401,838
52,985,1443
53,949,1054
54,236,692
55,173,455
56,721,1348
57,1386,1134
58,492,712
59,844,805
60,323,758
61,1082,268
62,368,389
63,728,607
64,1005,297
65,1280,1086
66,1377,251
67,785,291
68,199,220
69,214,292
70,369,559
71,1203,399
72,364,1182
73,1163,550
74,348,237
75,1326,1155
76,499,1250
77,280,560
78,358,142
79,877,329
80,673,520
81,500,756
82,1179,333
83,830,765
84,779,902
85,1299,281
86,405,149
87,1071,375
88,1066,403
89,538,536
90,802,1460
91,107,108
92,77,331
93,748,1008
94,1097,37
95,1314,1167
96,183,917
97,799,613
98,659,725
99,17,298
100,473,575
101,228,1204
102,1112,683
103,436,651
104,739,289
105,232,610
106,840,777
107,367,845
108,912,1416
109,960,457
110,1041,1227
111,627,1469
112,117,1371
113,318,1131
114,1267,1449
115,212,123
116,1144,1338
117,746,414
118,1378,839
119,109,169
120,612,888
121,148,132
122,1327,804
123,7,1288
124,1068,956
125,1125,1481
126,1195,1108
127,1389,1328
128,549,409
129,357,854
130,1407,1315
131,592,38
132,1247,908
133,249,1246
134,361,585
135,1433,1101
136,186,741
137,1186,750
138,791,1043
139,749,977
140,198,699
141,1161,222
142,846,1284
143,477,1414
144,697,35
145,545,591
146,103,203
147,325,1419
148,167,858
149,1497,602
150,1354,566
