100
1,97,89
2,132,236
3,941,302
4,954,610
5,573,123
6,60,646
7,234,96
8,351,584
9,815,441
10,16,695
11,43,637
12,168,804
13,642,792
14,723,969
15,639,620
16,445,176
17,539,921
18,292,658
19,732,442
20,186,423
21,674,797
22,180,537
23,361,543
24,612,754
25,762,706
26,80,505
27,906,160
28,755,210
29,474,774
30,424,25
31,434,427
32,297,146
33,493,850
34,494,618
35,790,970
36,768,408
37,622,52
38,365,589
39,781,37
40,513,62
41,337,918
42,901,84
43,840,702
44,527,701
45,596,619
46,561,129
47,199,564
48,288,443
49,449,829
50,220,553
51,803,681
52,185,386
53,215,367
54,162,700
55,216,71
56,412,113
57,294,147
58,871,330
59,406,857
60,174,676
61,851,51
62,920,335
63,945,882
64,105,349
65,242,550
66,383,525
67,556,244
68,245,360
69,562,13
70,663,818
71,207,139
72,110,900
73,276,309
74,296,164
75,393,405
76,470,281
77,975,785
78,243,758
79,739,44
80,27,606
81,855,221
82,672,347
83,952,860
84,531,771
85,218,341
86,420,802
87,881,246
88,500,570
89,476,542
90,211,438
91,985,566
92,568,540
93,617,144
94,359,104
95,333,806
96,895,138
97,35,884
98,800,451
99,824,708
100,718,879
